airline,origin,destination,dep_time,stops,duration,price,is_red_eye,seats_left
DL,SLC,MSP,15:00,0,2.48,417,0,14
AA,DFW,LAS,14:00,0,3.0,513,0,9
US,PHL,PHX,10:00,0,5.55,410,0,22
AA,ORD,PHX,08:00,0,3.83,354,0,26
B6,BUR,JFK,21:00,0,5.12,335,1,26
WN,SAN,SEA,14:00,0,2.92,297,0,21
WN,LAS,MDW,14:00,0,3.58,174,0,5
HA,HNL,LIH,12:00,0,0.65,335,0,15
EV,EWR,ORF,11:00,0,1.35,554,0,29
MQ,TYS,DFW,10:00,0,2.58,317,0,9
AA,SNA,ORD,17:00,0,3.75,209,0,24
AA,MCO,DFW,05:00,0,3.0,266,1,5
AS,PDX,HNL,07:00,0,6.38,327,0,24
AA,ATL,DFW,11:00,0,2.53,243,0,15
WN,HOU,PHX,12:00,0,2.92,498,0,18
AA,SAN,DFW,06:00,0,3.05,261,0,9
US,SMF,PHX,16:00,0,1.77,244,0,19
UA,IAH,ORD,17:00,0,2.63,449,0,11
AA,SLC,DFW,16:00,0,2.67,511,0,8
US,DEN,PHX,14:00,0,1.83,501,0,9
UA,SFO,JFK,21:00,0,5.43,402,1,22
WN,LAX,SJC,21:00,0,1.08,172,1,8
WN,MCO,BDL,19:00,0,2.58,503,0,12
OO,ORD,MSN,08:00,0,0.95,305,0,8
EV,IAH,LFT,14:00,0,0.88,102,0,29
UA,TPA,CLE,12:00,0,2.45,350,0,10
VX,SFO,PSP,17:00,0,1.42,376,0,19
MQ,DFW,TXK,10:00,0,0.9,543,0,22
OO,ORD,SLC,12:00,0,3.58,556,0,18
DL,SNA,MSP,08:00,0,3.63,325,0,8
WN,ABQ,HOU,11:00,0,1.92,95,0,13
VX,LAX,SFO,13:00,0,1.25,187,0,10
DL,TPA,LGA,13:00,0,2.65,190,0,6
B6,SFO,JFK,06:00,0,5.37,595,0,15
F9,ATL,DEN,08:00,0,3.45,296,0,17
DL,BNA,ATL,17:00,0,1.23,273,0,6
WN,DAL,AUS,12:00,0,0.83,209,0,27
OO,DFW,LAX,09:00,0,3.5,434,0,13
EV,LBB,IAH,10:00,0,1.5,144,0,29
WN,DEN,BNA,19:00,0,2.42,285,0,22
UA,SFO,IAH,07:00,0,3.87,133,0,18
DL,AGS,ATL,13:00,0,1.17,413,0,14
DL,ATL,RIC,14:00,0,1.5,270,0,12
WN,PVD,BWI,08:00,0,1.42,568,0,21
OO,CLD,LAX,06:00,0,0.87,476,0,11
AA,BWI,MIA,06:00,0,2.78,320,0,26
B6,JFK,SLC,18:00,0,5.3,246,0,22
UA,EWR,SFO,20:00,0,6.32,466,0,16
AS,SAN,SEA,19:00,0,2.93,382,0,18
EV,DTW,EVV,09:00,0,1.52,347,0,10
AA,OMA,DFW,18:00,0,1.93,179,0,9
MQ,TUL,DFW,09:00,0,1.22,134,0,17
OO,SBA,SFO,15:00,0,1.17,464,0,9
US,SJC,PHX,16:00,0,1.83,456,0,21
DL,ATL,HOU,08:00,0,2.32,301,0,6
EV,IAH,TUL,17:00,0,1.53,239,0,13
OO,SLC,SGU,07:00,0,1.03,191,0,28
UA,IAD,IAH,08:00,0,3.5,151,0,29
AA,LAX,OGG,11:00,0,5.87,488,0,17
AA,ORD,MCO,15:00,0,2.5,447,0,26
WN,MSY,LAS,16:00,0,4.08,421,0,13
B6,BDL,RSW,12:00,0,3.47,522,0,14
WN,AUS,DCA,12:00,0,2.92,324,0,17
EV,RIC,LGA,17:00,0,1.33,521,0,9
US,MSY,CLT,16:00,0,1.8,201,0,14
UA,IAH,DCA,12:00,0,2.88,92,0,21
B6,BOS,JFK,07:00,0,1.28,148,0,17
EV,ORD,ATW,09:00,0,0.98,141,0,13
WN,LAX,SMF,09:00,0,1.33,173,0,21
WN,MDW,SEA,08:00,0,4.67,112,0,26
OO,MMH,SFO,17:00,0,1.3,292,0,27
AA,DFW,SMF,09:00,0,3.87,407,0,14
US,BWI,CLT,13:00,0,1.47,437,0,19
EV,STL,CLE,08:00,0,1.57,267,0,27
AA,LGA,DFW,09:00,0,4.25,383,0,16
AS,MCI,SEA,16:00,0,3.92,484,0,14
WN,SAT,PHX,09:00,0,2.5,587,0,11
MQ,MIA,CMH,09:00,0,2.73,95,0,14
B6,SJU,BDL,19:00,0,4.03,330,0,16
EV,MCI,DTW,13:00,0,1.82,269,0,23
DL,MSP,DCA,19:00,0,2.33,474,0,21
OO,PHX,FAT,14:00,0,1.75,514,0,6
WN,BUR,SMF,11:00,0,1.25,398,0,28
