listing_id,city,neighbourhood,price,rooms_left,is_pet_friendly,near_transit,has_breakfast,avg_30d_price,deal_threshold,is_deal,deal_percentage,tags,limited_availability,availability_level,neighbourhood_group,deal_start,deal_expiry,days_until_expiry,why_this_deal,what_to_watch
2595,NYC,Midtown,225.0,24,1,0,0,249.58,212.143,False,9.8,Pet-friendly,False,High,Manhattan,2025-12-03 00:45:32.866180,2025-12-14 00:45:32.866180,7,"pet-friendly, in Manhattan",book within 48h for best rate
5295,NYC,Morningside Heights,135.0,21,0,1,1,149.67,127.21949999999998,False,9.8,"Near transit, Breakfast included",False,High,Manhattan,2025-12-03 00:45:32.866180,2025-12-14 00:45:32.866180,7,"near transit, in Manhattan",book within 48h for best rate
6848,NYC,Williamsburg,84.0,6,0,1,1,77.72,66.062,False,0.0,"Near transit, Breakfast included",False,Low,Brooklyn,2025-12-06 00:45:32.866180,2025-12-15 00:45:32.866180,8,"near transit, in Brooklyn",book within 48h for best rate
75635,NYC,Lower East Side,160.0,9,1,0,1,159.28,135.388,False,0.0,"Pet-friendly, Breakfast included",False,Medium,Manhattan,2025-12-02 00:45:32.866180,2025-12-20 00:45:32.866180,13,"pet-friendly, in Manhattan",book within 48h for best rate
7097,NYC,Fort Greene,199.0,24,0,1,1,181.41,154.1985,False,0.0,"Near transit, Breakfast included",False,High,Brooklyn,2025-12-03 00:45:32.866180,2025-12-10 00:45:32.866180,3,"near transit, in Brooklyn",book within 48h for best rate
7801,NYC,Williamsburg,395.0,6,1,0,1,400.45,340.3825,False,1.4,"Pet-friendly, Breakfast included",False,Low,Brooklyn,2025-12-04 00:45:32.866180,2025-12-15 00:45:32.866180,8,"pet-friendly, in Brooklyn",book within 48h for best rate
44288,NYC,West Village,170.0,25,1,0,0,181.65,154.4025,False,6.4,Pet-friendly,False,High,Manhattan,2025-12-05 00:45:32.866180,2025-12-09 00:45:32.866180,2,"pet-friendly, in Manhattan",expires in 2d
44973,NYC,Williamsburg,104.0,6,0,0,0,96.18,81.753,False,0.0,Standard,False,Low,Brooklyn,2025-12-06 00:45:32.866180,2025-12-11 00:45:32.866180,4,in Brooklyn,book within 48h for best rate
8490,NYC,Bedford-Stuyvesant,135.0,5,0,1,1,122.27,103.92949999999999,False,0.0,"Near transit, Breakfast included",False,Low,Brooklyn,2025-12-03 00:45:32.866180,2025-12-17 00:45:32.866180,10,"near transit, in Brooklyn",book within 48h for best rate
45910,NYC,Ridgewood,395.0,19,1,1,1,453.92,385.832,False,13.0,"Pet-friendly, Near transit, Breakfast included",False,High,Queens,2025-12-03 00:45:32.866180,2025-12-20 00:45:32.866180,13,"13% off, pet-friendly, in Queens",book within 48h for best rate
80924,NYC,Park Slope,160.0,16,1,1,0,162.57,138.18449999999999,False,1.6,"Pet-friendly, Near transit",False,High,Brooklyn,2025-12-04 00:45:32.866180,2025-12-10 00:45:32.866180,3,"pet-friendly, in Brooklyn",book within 48h for best rate
12940,NYC,Bedford-Stuyvesant,119.0,12,0,1,1,114.54,97.35900000000001,False,0.0,"Near transit, Breakfast included",False,Medium,Brooklyn,2025-12-02 00:45:32.866180,2025-12-11 00:45:32.866180,4,"near transit, in Brooklyn",book within 48h for best rate
82928,NYC,Bedford-Stuyvesant,150.0,23,0,1,1,167.51,142.3835,False,10.5,"Near transit, Breakfast included",False,High,Brooklyn,2025-12-03 00:45:32.866180,2025-12-18 00:45:32.866180,11,"10% off, near transit, in Brooklyn",book within 48h for best rate
50447,NYC,Gowanus,162.0,5,1,0,1,150.92,128.28199999999998,False,0.0,"Pet-friendly, Breakfast included",False,Low,Brooklyn,2025-12-04 00:45:32.866180,2025-12-20 00:45:32.866180,13,"pet-friendly, in Brooklyn",book within 48h for best rate
14290,NYC,Williamsburg,248.0,19,0,1,0,268.62,228.327,False,7.7,Near transit,False,High,Brooklyn,2025-12-03 00:45:32.866180,2025-12-16 00:45:32.866180,9,"near transit, in Brooklyn",book within 48h for best rate
83243,NYC,Bushwick,77.0,8,0,1,0,78.5,66.725,False,1.9,Near transit,False,Low,Brooklyn,2025-12-07 00:45:32.866180,2025-12-13 00:45:32.866180,6,"near transit, in Brooklyn",book within 48h for best rate
14314,NYC,Greenpoint,99.0,25,1,1,0,99.2,84.32,False,0.2,"Pet-friendly, Near transit",False,High,Brooklyn,2025-12-07 00:45:32.866180,2025-12-15 00:45:32.866180,8,"pet-friendly, in Brooklyn",book within 48h for best rate
89621,NYC,Crown Heights,90.0,10,1,1,0,100.62,85.527,False,10.6,"Pet-friendly, Near transit",False,Medium,Brooklyn,2025-12-03 00:45:32.866180,2025-12-14 00:45:32.866180,7,"11% off, pet-friendly, in Brooklyn",book within 48h for best rate
93313,NYC,Bedford-Stuyvesant,135.0,23,1,1,0,151.23,128.54549999999998,False,10.7,"Pet-friendly, Near transit",False,High,Brooklyn,2025-12-06 00:45:32.866180,2025-12-10 00:45:32.866180,3,"11% off, pet-friendly, in Brooklyn",book within 48h for best rate
15341,NYC,Lower East Side,229.0,5,0,0,0,243.28,206.78799999999998,False,5.9,Standard,False,Low,Manhattan,2025-12-06 00:45:32.866180,2025-12-10 00:45:32.866180,3,in Manhattan,book within 48h for best rate
52689,NYC,Ditmars Steinway,150.0,15,1,1,1,156.72,133.212,False,4.3,"Pet-friendly, Near transit, Breakfast included",False,Medium,Queens,2025-12-07 00:45:32.866180,2025-12-18 00:45:32.866180,11,"pet-friendly, in Queens",book within 48h for best rate
94209,NYC,Crown Heights,101.0,16,0,1,1,108.96,92.61599999999999,False,7.3,"Near transit, Breakfast included",False,High,Brooklyn,2025-12-05 00:45:32.866180,2025-12-12 00:45:32.866180,5,"near transit, in Brooklyn",book within 48h for best rate
15396,NYC,Chelsea,400.0,5,1,0,1,417.55,354.9175,False,4.2,"Pet-friendly, Breakfast included",False,Low,Manhattan,2025-12-05 00:45:32.866180,2025-12-20 00:45:32.866180,13,"pet-friendly, in Manhattan",book within 48h for best rate
94783,NYC,Crown Heights,140.0,17,0,0,0,138.46,117.691,False,0.0,Standard,False,High,Brooklyn,2025-12-04 00:45:32.866180,2025-12-11 00:45:32.866180,4,in Brooklyn,book within 48h for best rate
53469,NYC,Middle Village,107.0,10,0,0,0,107.69,91.53649999999999,False,0.6,Standard,False,Medium,Queens,2025-12-07 00:45:32.866180,2025-12-16 00:45:32.866180,9,in Queens,book within 48h for best rate
53470,NYC,Ridgewood,193.0,9,1,1,1,203.15,172.6775,False,5.0,"Pet-friendly, Near transit, Breakfast included",False,Medium,Queens,2025-12-03 00:45:32.866180,2025-12-16 00:45:32.866180,9,"pet-friendly, in Queens",book within 48h for best rate
