listing_id,city,neighbourhood,price,rooms_left,is_pet_friendly,near_transit,has_breakfast
2595,NYC,Midtown,225.0,24,1,0,0
5295,NYC,Morningside Heights,135.0,21,0,1,1
6848,NYC,Williamsburg,84.0,6,0,1,1
75635,NYC,Lower East Side,160.0,9,1,0,1
7097,NYC,Fort Greene,199.0,24,0,1,1
7801,NYC,Williamsburg,395.0,6,1,0,1
44288,NYC,West Village,170.0,25,1,0,0
44973,NYC,Williamsburg,104.0,6,0,0,0
8490,NYC,Bedford-Stuyvesant,135.0,5,0,1,1
45910,NYC,Ridgewood,395.0,19,1,1,1
80924,NYC,Park Slope,160.0,16,1,1,0
12940,NYC,Bedford-Stuyvesant,119.0,12,0,1,1
82928,NYC,Bedford-Stuyvesant,150.0,23,0,1,1
50447,NYC,Gowanus,162.0,5,1,0,1
14290,NYC,Williamsburg,248.0,19,0,1,0
83243,NYC,Bushwick,77.0,8,0,1,0
14314,NYC,Greenpoint,99.0,25,1,1,0
89621,NYC,Crown Heights,90.0,10,1,1,0
93313,NYC,Bedford-Stuyvesant,135.0,23,1,1,0
15341,NYC,Lower East Side,229.0,5,0,0,0
52689,NYC,Ditmars Steinway,150.0,15,1,1,1
94209,NYC,Crown Heights,101.0,16,0,1,1
15396,NYC,Chelsea,400.0,5,1,0,1
94783,NYC,Crown Heights,140.0,17,0,0,0
53469,NYC,Middle Village,107.0,10,0,0,0
53470,NYC,Ridgewood,193.0,9,1,1,1
15711,NYC,Upper East Side,206.0,24,1,0,1
53477,NYC,Middle Village,350.0,5,1,1,1
95747,NYC,Williamsburg,140.0,11,0,0,1
95883,NYC,Bedford-Stuyvesant,250.0,23,0,1,1
16326,NYC,Prospect Heights,140.0,7,1,1,0
98663,NYC,Chelsea,150.0,10,1,1,1
99085,NYC,Fort Greene,123.0,25,1,1,0
100186,NYC,Gowanus,130.0,20,0,0,0
16595,NYC,Williamsburg,500.0,9,1,0,0
100368,NYC,Chelsea,222.0,15,1,1,0
55587,NYC,Williamsburg,235.0,14,1,0,1
102995,NYC,Upper West Side,389.0,14,1,1,1
16974,NYC,East Harlem,250.0,28,1,0,1
17037,NYC,East Village,220.0,18,1,0,1
103161,NYC,Williamsburg,375.0,8,0,0,0
103555,NYC,Fort Greene,375.0,22,0,1,1
57166,NYC,Ditmars Steinway,150.0,24,0,0,0
57618,NYC,Hell's Kitchen,250.0,10,0,0,0
57754,NYC,Flatiron District,330.0,15,0,1,0
57874,NYC,East Harlem,160.0,22,0,1,0
19159,NYC,Harlem,110.0,23,1,1,0
106647,NYC,Bedford-Stuyvesant,150.0,7,1,0,0
19812,NYC,Williamsburg,105.0,20,0,0,0
106906,NYC,Clinton Hill,225.0,16,1,0,0
107630,NYC,Greenpoint,175.0,7,1,1,0
107895,NYC,Upper West Side,166.0,13,1,1,0
59014,NYC,Lower East Side,180.0,19,1,1,1
23135,NYC,Carroll Gardens,189.0,19,1,1,1
59709,NYC,Chinatown,300.0,20,1,0,0
114123,NYC,South Slope,235.0,18,1,0,0
24285,NYC,Park Slope,220.0,21,1,0,0
60181,NYC,East Village,195.0,27,1,1,1
115748,NYC,Astoria,85.0,7,0,0,1
26785,NYC,South Slope,90.0,13,1,0,1
27006,NYC,Upper West Side,225.0,22,1,0,0
116551,NYC,Harlem,70.0,28,0,1,1
27644,NYC,Harlem,180.0,6,0,1,0
118061,NYC,Bedford-Stuyvesant,95.0,6,1,1,1
60680,NYC,East Village,160.0,27,1,0,1
121861,NYC,Park Slope,165.0,25,0,1,1
28907,NYC,Upper East Side,150.0,22,0,1,1
62427,NYC,East Village,130.0,5,0,1,1
62891,NYC,East Village,175.0,14,0,1,0
62925,NYC,Greenpoint,285.0,19,1,0,0
29683,NYC,Lower East Side,185.0,20,1,1,0
63610,NYC,Eastchester,101.0,26,0,0,0
63693,NYC,East Village,390.0,27,1,0,1
123784,NYC,Harlem,102.0,7,0,1,1
126443,NYC,East Village,459.0,8,0,0,1
132516,NYC,Forest Hills,115.0,10,1,0,1
33009,NYC,Williamsburg,235.0,5,1,1,1
33156,NYC,Upper West Side,139.0,19,1,1,1
36703,NYC,West Village,175.0,27,1,0,1
